;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6499.98;96188260.0;96550560.0;48100;378;13403.414;330171070.0;338342460.0;108;4
1;6221.1626;88021900.0;88343820.0;48100;378;13401.072;330098530.0;338269060.0;108;4
2;6069.729;83614980.0;83913590.0;48100;378;13391.1;329778460.0;337944600.0;108;4
3;5915.0127;79421130.0;79697080.0;48100;378;13367.09;328983400.0;337137950.0;108;4
4;5767.007;75548970.0;75803976.0;48100;378;13322.281;327457440.0;335588740.0;108;4
5;5629.352;72017400.0;72252910.0;48100;378;13250.022;324933730.0;333024700.0;108;4
6;5494.19;68624440.0;68841380.0;48100;378;13143.754;321142050.0;329170370.0;108;4
7;5361.229;65423090.0;65623350.0;48100;378;12997.662;315837470.0;323774530.0;108;4
8;5228.1606;62268010.0;62452904.0;48100;378;12805.961;308778400.0;316588740.0;108;4
9;5098.929;59298636.0;59470336.0;48100;378;12562.431;299730080.0;307371170.0;108;4
10;4969.617;56414836.0;56576200.0;48100;378;12260.318;288497470.0;295921200.0;108;4
11;4841.6353;53610788.0;53764224.0;48100;378;11892.414;274929660.0;282083500.0;108;4
12;4715.9287;50907012.0;51054230.0;48100;378;11451.6455;258967360.0;265796720.0;108;4
13;4591.9087;48291332.0;48437588.0;48100;378;10934.614;240774080.0;247225220.0;108;4
14;4467.965;45779296.0;45926708.0;48100;378;10342.319;220657380.0;226680030.0;108;4
15;4345.986;43415580.0;43563924.0;48100;378;9681.516;199143740.0;204693840.0;108;4
16;4228.9155;41256920.0;41407120.0;48100;378;8966.921;176861550.0;181903900.0;108;4
17;4113.0537;39238012.0;39391120.0;48100;378;8211.888;154489440.0;159000350.0;108;4
18;3996.3958;37325184.0;37479884.0;48100;378;7436.5625;132717040.0;136685200.0;108;4
19;3874.78;35457708.0;35610436.0;48100;378;6651.2744;112030390.0;115454930.0;108;4
20;3755.8115;33722644.0;33873510.0;48100;378;5877.2173;92844020.0;95735304.0;108;4
21;3639.0034;32121214.0;32268002.0;48100;378;5151.342;75509256.0;77886730.0;108;4
22;3536.723;30742194.0;30886386.0;48100;378;4502.1973;60275104.0;62167852.0;108;4
23;3429.9255;29409182.0;29548896.0;48100;378;3968.5166;47505388.0;48951536.0;108;4
24;3286.1643;27748472.0;27874024.0;48100;378;3700.5054;37495780.0;38543984.0;108;4
25;3163.1157;26433978.0;26552712.0;48100;378;3758.111;30476890.0;31186398.0;108;4
26;3179.829;26602802.0;26725306.0;48100;378;3952.9214;26513158.0;26946254.0;108;4
27;3112.9058;25880212.0;25996678.0;48100;378;4172.915;25416148.0;25641220.0;108;4
28;3092.6667;25625678.0;25740596.0;48100;378;4421.624;26647588.0;26729706.0;108;4
29;3087.498;25579962.0;25693914.0;48100;378;4768.238;29543948.0;29539794.0;108;4
30;3092.12;25606930.0;25722548.0;48100;378;5141.3623;33156716.0;33115364.0;108;4
31;3084.891;25569038.0;25684554.0;48100;378;5451.6733;36526852.0;36487708.0;108;4
32;3073.3862;25478388.0;25594618.0;48100;378;5638.4673;38976540.0;38969908.0;108;4
33;3053.4536;25305378.0;25420932.0;48100;378;5723.5645;40234584.0;40278764.0;108;4
34;3034.4055;25128770.0;25243480.0;48100;378;5705.0737;40247384.0;40350628.0;108;4
35;3010.3145;24917598.0;25031152.0;48100;378;5595.862;39100080.0;39263456.0;108;4
36;2980.7864;24648254.0;24760076.0;48100;378;5424.6367;37253620.0;37474540.0;108;4
37;2953.6228;24397886.0;24508344.0;48100;378;5201.872;34905216.0;35177280.0;108;4
38;2928.7744;24157966.0;24266220.0;48100;378;4957.5127;32325876.0;32638200.0;108;4
39;2903.8403;23912328.0;24019492.0;48100;378;4710.336;29822234.0;30163980.0;108;4
40;2891.5662;23777320.0;23883970.0;48100;378;4469.603;27465664.0;27828664.0;108;4
41;2878.7922;23624936.0;23731182.0;48100;378;4254.6636;25443034.0;25816808.0;108;4
42;2865.8347;23464586.0;23569944.0;48100;378;4080.0332;23692784.0;24067858.0;108;4
43;2857.1323;23330134.0;23433412.0;48100;378;3934.759;22223388.0;22593450.0;108;4
44;2851.456;23259862.0;23364132.0;48100;378;3811.2998;21059790.0;21424484.0;108;4
45;2847.0688;23209328.0;23313486.0;48100;378;3705.0286;20137432.0;20504982.0;108;4
46;2836.766;23106704.0;23210028.0;48100;378;3613.039;19420612.0;19790032.0;108;4
47;2838.6272;23102266.0;23204034.0;48100;378;3530.4897;18867646.0;19232324.0;108;4
48;2831.9253;23014722.0;23116484.0;48100;378;3455.7974;18504102.0;18862084.0;108;4
49;2823.488;22907604.0;23009066.0;48100;378;3383.96;18270256.0;18621028.0;108;4
