;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;12944.318;314313600.0;315496100.0;4505;37;15817.098;423325250.0;425057440.0;103;4
1;12560.569;303136600.0;305558140.0;4505;37;15814.179;423222140.0;424954050.0;103;4
2;12087.531;289524830.0;293116900.0;4505;37;15799.186;422683620.0;424413900.0;103;4
3;11499.243;272380130.0;277117500.0;4505;37;15754.752;421086660.0;422812260.0;103;4
4;10816.276;251351340.0;257064000.0;4505;37;15655.305;417522900.0;419238180.0;103;4
