;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6452.0835;97640180.0;98027640.0;48100;378;14476.922;348731870.0;354852580.0;108;4
1;6201.6846;90521700.0;90865740.0;48100;378;14474.706;348657730.0;354777920.0;108;4
2;6051.683;86191750.0;86510760.0;48100;378;14468.1;348439400.0;354557950.0;108;4
3;5924.2915;82633464.0;82934136.0;48100;378;14453.738;347954620.0;354069340.0;108;4
4;5797.351;79149030.0;79431384.0;48100;378;14428.0625;347069950.0;353177200.0;108;4
5;5662.1934;75652490.0;75918290.0;48100;378;14387.19;345635620.0;351730050.0;108;4
6;5531.4473;72299560.0;72550344.0;48100;378;14327.238;343498430.0;349572580.0;108;4
7;5400.621;68999460.0;69235450.0;48100;378;14244.593;340513100.0;346557470.0;108;4
8;5278.2803;65938916.0;66161296.0;48100;378;14135.906;336545800.0;342548640.0;108;4
9;5156.4995;63008920.0;63218212.0;48100;378;13998.797;331500930.0;337448420.0;108;4
10;5035.773;60162884.0;60360132.0;48100;378;13832.104;325331300.0;331208160.0;108;4
11;4914.823;57397816.0;57582332.0;48100;378;13634.99;318015170.0;323804640.0;108;4
12;4798.034;54725556.0;54897804.0;48100;378;13406.201;309537400.0;315221630.0;108;4
13;4686.604;52192604.0;52353308.0;48100;378;13143.885;299879300.0;305438400.0;108;4
14;4578.5103;49771156.0;49921388.0;48100;378;12844.8955;289003170.0;294416350.0;108;4
15;4473.46;47466980.0;47609676.0;48100;378;12505.379;276878340.0;282123900.0;108;4
16;4365.045;45167704.0;45303840.0;48100;378;12120.989;263492930.0;268546900.0;108;4
17;4263.4727;43015696.0;43145988.0;48100;378;11689.061;248925730.0;253764300.0;108;4
18;4165.368;40981030.0;41107332.0;48100;378;11208.525;233301140.0;237900110.0;108;4
19;4068.9915;39040652.0;39162416.0;48100;378;10679.564;216795600.0;221129550.0;108;4
20;3971.6855;37183040.0;37303096.0;48100;378;10106.021;199670720.0;203716850.0;108;4
21;3876.2693;35439050.0;35557850.0;48100;378;9497.557;182248130.0;185986320.0;108;4
22;3778.5615;33753324.0;33872056.0;48100;378;8860.09;164874720.0;168289360.0;108;4
23;3686.848;32227376.0;32344032.0;48100;378;8212.01;147937920.0;151019330.0;108;4
24;3596.3645;30795218.0;30907438.0;48100;378;7588.33;131777890.0;134522830.0;108;4
25;3501.3108;29414658.0;29524706.0;48100;378;6996.909;116676370.0;119087096.0;108;4
26;3409.8245;28155130.0;28264366.0;48100;378;6426.785;102802080.0;104887560.0;108;4
27;3318.7427;26960928.0;27067674.0;48100;378;5900.1987;90222410.0;91996024.0;108;4
28;3226.6018;25822986.0;25928010.0;48100;378;5428.189;78950000.0;80428650.0;108;4
29;3136.694;24759194.0;24862078.0;48100;378;5017.513;69007270.0;70211640.0;108;4
30;3049.67;23758364.0;23857628.0;48100;378;4647.9116;60321590.0;61274936.0;108;4
31;2970.9941;22865950.0;22961514.0;48100;378;4301.6523;52714800.0;53439660.0;108;4
32;2893.8416;22051856.0;22143694.0;48100;378;4043.5862;46179880.0;46702212.0;108;4
33;2830.484;21384182.0;21471248.0;48100;378;3902.0193;40715696.0;41064420.0;108;4
34;2777.9934;20827656.0;20912252.0;48100;378;3824.304;36237984.0;36440516.0;108;4
35;2731.5945;20413878.0;20496250.0;48100;378;3759.5752;32719302.0;32803712.0;108;4
36;2695.051;20026340.0;20106608.0;48100;378;3745.0837;30149822.0;30141938.0;108;4
37;2675.5288;19799030.0;19878156.0;48100;378;3804.5215;28495722.0;28421252.0;108;4
38;2672.393;19682338.0;19760982.0;48100;378;3903.2822;27609494.0;27492062.0;108;4
39;2638.7903;19400782.0;19477780.0;48100;378;3994.6238;27313780.0;27172812.0;108;4
40;2622.525;19241552.0;19317702.0;48100;378;4080.4883;27323880.0;27173610.0;108;4
41;2598.921;19024878.0;19101020.0;48100;378;4166.943;27433560.0;27283198.0;108;4
42;2599.3015;19029420.0;19105652.0;48100;378;4213.154;27522224.0;27376410.0;108;4
43;2585.296;18906846.0;18982142.0;48100;378;4221.567;27449070.0;27311756.0;108;4
44;2568.5479;18779484.0;18854024.0;48100;378;4188.8413;27263900.0;27140072.0;108;4
45;2552.1584;18654178.0;18728726.0;48100;378;4130.025;26986124.0;26875222.0;108;4
46;2543.752;18603972.0;18677096.0;48100;378;4046.4648;26691382.0;26596236.0;108;4
47;2528.6826;18561462.0;18634128.0;48100;378;3944.2256;26427876.0;26352312.0;108;4
48;2520.7761;18502120.0;18574140.0;48100;378;3835.8086;26255224.0;26203946.0;108;4
49;2516.705;18497750.0;18570358.0;48100;378;3725.9626;26149424.0;26128232.0;108;4
