;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
mean;1860.9285074869792;1860.9285074869792;22487366.0;85.51042079925537;2053.877888997396;2053.877888997396;23589016.0;78.20332845052083
std;23.57004581686612;23.57004581686612;195740.65563392802;0.15186601682669038;46.23337320251423;46.23337320251423;163465.95931875234;0.12461022609098467
min;1837.537353515625;1837.537353515625;22315592.0;85.3451669216156;2026.729736328125;2026.729736328125;23490092.0;78.06700468063354
25%;1849.0560302734375;1849.0560302734375;22380813.0;85.44370234012604;2027.1863403320312;2027.1863403320312;23494676.0;78.14931273460388
50%;1860.57470703125;1860.57470703125;22446034.0;85.54223775863647;2027.6429443359375;2027.6429443359375;23499260.0;78.23162078857422
75%;1872.6240844726562;1872.6240844726562;22573253.0;85.59304773807526;2067.4519653320312;2067.4519653320312;23638478.0;78.27149033546448
max;1884.6734619140625;1884.6734619140625;22700472.0;85.64385771751404;2107.260986328125;2107.260986328125;23777696.0;78.31135988235474
