;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score;test_loss;test_mae;test_mean_squared_error;test_r2_score
0;21518194.0;2617.398681640625;21518194.0;86.07708811759949;23580600.0;2203.58837890625;23580600.0;77.89326310157776;32173664.0;3043.38916015625;32173664.0;0.6613290309906006
1;20788008.0;2544.825439453125;20788008.0;86.56442761421204;24616640.0;2351.755615234375;24616640.0;77.22314596176147;32633198.0;2912.0732421875;32633198.0;0.6558374762535095
2;20779042.0;2538.734619140625;20779042.0;86.57094240188599;24626090.0;2341.438720703125;24626090.0;77.20615863800049;32587118.0;2900.221435546875;32587118.0;0.6560026407241821
3;19229838.0;2343.27734375;19229838.0;87.55292892456055;23834786.0;2252.358642578125;23834786.0;77.4998664855957;;;;
4;20617520.0;2505.233642578125;20617520.0;86.68227195739746;24702490.0;2391.50439453125;24702490.0;77.14523077011108;;;;
5;20640644.0;2509.520263671875;20640644.0;86.6724967956543;24612160.0;2363.010986328125;24612160.0;77.23526358604431;;;;
6;20703630.0;2523.494140625;20703630.0;86.61941289901733;24922390.0;2403.218017578125;24922390.0;76.96455121040344;;;;
7;20741060.0;2528.426025390625;20741060.0;86.59575581550598;24708876.0;2382.2275390625;24708876.0;77.10057497024536;;;;
8;20759036.0;2534.4111328125;20759036.0;86.58307194709778;24699148.0;2388.870849609375;24699148.0;77.10437774658203;;;;
9;20766246.0;2533.791748046875;20766246.0;86.57721281051636;24692314.0;2383.358642578125;24692314.0;77.10840702056885;;;;
10;20762266.0;2536.2978515625;20762266.0;86.579430103302;24690208.0;2387.078125;24690208.0;77.10830569267273;;;;
11;20770082.0;2536.359130859375;20770082.0;86.57294511795044;24709302.0;2392.54150390625;24709302.0;77.09124088287354;;;;
12;20758624.0;2537.1787109375;20758624.0;86.58065795898438;24726722.0;2383.17333984375;24726722.0;77.0912766456604;;;;
13;20758162.0;2537.4228515625;20758162.0;86.58097982406616;24734152.0;2383.66650390625;24734152.0;77.08674669265747;;;;
14;20761394.0;2537.830322265625;20761394.0;86.57942414283752;24800426.0;2393.136474609375;24800426.0;77.04063653945923;;;;
15;20762500.0;2532.637939453125;20762500.0;86.57938838005066;24834062.0;2394.169677734375;24834062.0;77.01644897460938;;;;
16;20758744.0;2532.997314453125;20758744.0;86.58211827278137;24790130.0;2389.19970703125;24790130.0;77.03901529312134;;;;
17;20756568.0;2535.874755859375;20756568.0;86.58366799354553;24721530.0;2380.4619140625;24721530.0;77.09367275238037;;;;
18;20759352.0;2536.0703125;20759352.0;86.58062815666199;24788878.0;2393.426025390625;24788878.0;77.03837156295776;;;;
19;20756260.0;2535.791748046875;20756260.0;86.58379912376404;24719728.0;2376.9775390625;24719728.0;77.1022081375122;;;;
20;20756260.0;2535.792724609375;20756260.0;86.58379912376404;24719726.0;2376.977783203125;24719726.0;77.1022081375122;;;;
21;20756264.0;2535.79296875;20756264.0;86.58379912376404;24719726.0;2376.9775390625;24719726.0;77.1022081375122;;;;
22;20756262.0;2535.793212890625;20756262.0;86.58379912376404;24719728.0;2376.97802734375;24719728.0;77.1022081375122;;;;
23;20756264.0;2535.79296875;20756264.0;86.58379912376404;24719726.0;2376.9775390625;24719726.0;77.1022081375122;;;;
24;20756262.0;2535.79296875;20756262.0;86.58379912376404;24719728.0;2376.977783203125;24719728.0;77.1022081375122;;;;
