;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score;test_loss;test_mae;test_mean_squared_error;test_r2_score
mean;21638855.76;2731.8889453125;21638855.76;0.8466324472427368;25543048.0;3057.812216796875;25543048.0;0.8345061278343201;23947200.24;2921.54294921875;23947200.24;0.8099102950096131
std;1175413.1516743833;149.01165644128696;1175413.1516743833;0.009898576211026331;3123957.9508463833;293.9952209849644;3123957.824241817;0.018818686364109594;3895341.079044997;277.9614244038353;3895341.079044997;0.03783985873350733
min;18076762.0;2378.653076171875;18076762.0;0.8312296271324158;17238680.0;2453.867919921875;17238680.0;0.7925472855567932;19051912.0;2415.6416015625;19051912.0;0.7433249950408936
25%;21479838.0;2655.449462890625;21479838.0;0.8422104120254517;23899802.0;2865.97265625;23899806.0;0.8215970993041992;21171818.0;2716.8720703125;21171818.0;0.7850224375724792
50%;21756192.0;2713.001708984375;21756192.0;0.8467269539833069;26055084.0;3059.46142578125;26055084.0;0.834707498550415;22816820.0;2938.529296875;22816820.0;0.8066890239715576
75%;22209778.0;2814.411865234375;22209778.0;0.8508096933364868;27373386.0;3208.298828125;27373386.0;0.8471561074256897;26182232.0;3087.466552734375;26182232.0;0.8375381231307983
max;23556024.0;3131.34521484375;23556024.0;0.8722482323646545;30845704.0;3720.8173828125;30845704.0;0.8779830932617188;32744468.0;3485.930419921875;32744468.0;0.87818443775177
