;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
mean;21413292.666666668;2716.4469075520833;21413292.666666668;84.89034573237102;25442048.8;3000.891015625;25442048.8;83.53116790453593
std;1360966.9603101353;154.9546182218909;1360966.9603101353;0.9314653650456846;3169075.180665065;332.127867905398;3169075.180665065;1.79820477553388
min;18111344.0;2371.9541015625;18111344.0;83.69995355606079;17246966.0;2432.8828125;17246966.0;80.6686282157898
25%;20885702.0;2609.929931640625;20885702.0;84.25481915473938;24064223.0;2780.2620849609375;24064223.0;82.11609423160553
50%;21687456.0;2727.89892578125;21687456.0;84.66362357139587;25538242.0;3059.119140625;25538242.0;83.58792066574097
75%;21918938.0;2835.5416259765625;21918938.0;85.34921109676361;27360176.0;3120.1683349609375;27360176.0;84.5399796962738
max;23582050.0;2982.440185546875;23582050.0;87.19688653945923;29522216.0;3755.331298828125;29522216.0;87.77830600738525
