;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
mean;21677316.0;2728.4755078125;21677315.92;0.8463789105415345;25394984.48;3035.7132421875;25394984.4;0.8353935718536377
std;1304037.003957454;139.49423346306222;1304036.9263290924;0.01037150516319766;3241150.571624079;264.0111435569237;3241150.54749575;0.020322138734017062
min;19339324.0;2515.94775390625;19339324.0;0.8225225806236267;19323024.0;2686.77880859375;19323024.0;0.7926973104476929
25%;20595324.0;2644.459228515625;20595324.0;0.8414722681045532;23720152.0;2866.3779296875;23720152.0;0.8271923661231995
50%;21679396.0;2717.265380859375;21679396.0;0.8454189896583557;25062072.0;2978.97314453125;25062072.0;0.8392573595046997
75%;22478328.0;2786.5283203125;22478328.0;0.8554028272628784;26900542.0;3129.572998046875;26900542.0;0.8509504795074463
max;24546380.0;3145.619384765625;24546380.0;0.8644919991493225;30953244.0;3925.03662109375;30953244.0;0.8652329444885254
