epoch;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
0;228280352.0;11287.916015625;228280352.0;-0.6569011807441711;112704744.0;6974.08349609375;112704752.0;0.25322163105010986
1;97729208.0;7070.2177734375;97729208.0;0.3026619851589203;52475200.0;5889.94189453125;52475200.0;0.6514767408370972
2;52420632.0;4920.59814453125;52420632.0;0.6128718256950378;51998748.0;4255.00146484375;51998748.0;0.6538835763931274
3;44807168.0;4134.2568359375;44807168.0;0.6758885979652405;43043144.0;4918.22802734375;43043144.0;0.7143669128417969
4;41244936.0;4559.81298828125;41244936.0;0.7012359499931335;42047308.0;4821.24365234375;42047308.0;0.721259593963623
