epoch;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
0;229953744.0;11344.6435546875;229953744.0;-0.6608935594558716;101738800.0;6500.544921875;101738800.0;0.2836316227912903
1;93638912.0;6815.4169921875;93638912.0;0.3159341812133789;48652248.0;5725.52783203125;48652248.0;0.6560442447662354
2;54754668.0;4874.99169921875;54754668.0;0.5976914167404175;79175536.0;5866.45361328125;79175536.0;0.43966105580329895
3;61286540.0;4815.78466796875;61286540.0;0.5431346297264099;40189512.0;4325.25830078125;40189512.0;0.7159331440925598
4;46503076.0;4839.35498046875;46503076.0;0.6592050194740295;55721764.0;3970.381591796875;55721764.0;0.6069936156272888
5;47374552.0;4591.60595703125;47374552.0;0.6631292104721069;42576120.0;3702.010498046875;42576120.0;0.6994889378547668
6;44863248.0;3898.700439453125;44863248.0;0.673207700252533;48042440.0;5007.453125;48042440.0;0.6592468023300171
7;44146240.0;4143.78173828125;44146240.0;0.6730929017066956;37692736.0;3776.0107421875;37692736.0;0.7334676384925842
8;37962224.0;4137.68359375;37962224.0;0.7268589735031128;41689908.0;3692.784423828125;41689908.0;0.705542802810669
9;40263184.0;3947.544921875;40263184.0;0.7014009356498718;41043320.0;4694.45947265625;41043320.0;0.7088534832000732
10;39623128.0;3970.442138671875;39623128.0;0.6901934742927551;37287596.0;4328.8623046875;37287596.0;0.7358196973800659
11;36683040.0;3962.820068359375;36683040.0;0.7313303351402283;39233152.0;3702.231201171875;39233152.0;0.7225546836853027
12;37736336.0;3861.607666015625;37736336.0;0.7053569555282593;35061108.0;3764.0947265625;35061108.0;0.7518190145492554
13;37121140.0;3658.92822265625;37121140.0;0.7257781624794006;37623552.0;4468.8955078125;37623552.0;0.7330406904220581
14;37920236.0;4209.27490234375;37920236.0;0.7220073938369751;38976744.0;3666.369140625;38976744.0;0.724683403968811
15;36069868.0;3954.599365234375;36069868.0;0.7334874272346497;34302384.0;3699.730712890625;34302384.0;0.7572740912437439
16;34098048.0;3618.809814453125;34098048.0;0.7466779351234436;34500656.0;4000.16357421875;34500656.0;0.7552452087402344
17;33216660.0;3797.16015625;33216660.0;0.7513864636421204;37847320.0;3631.720458984375;37847320.0;0.7326327562332153
18;33963700.0;3805.048828125;33963700.0;0.7491592764854431;32251522.0;3817.607177734375;32251522.0;0.7715190649032593
19;31476444.0;3599.75634765625;31476444.0;0.7648149132728577;32098940.0;3539.187255859375;32098940.0;0.7729665040969849
20;30928782.0;3537.775146484375;30928782.0;0.7661030888557434;31007434.0;3669.49755859375;31007434.0;0.7804603576660156
21;30161542.0;3615.553466796875;30161542.0;0.7789789438247681;31118076.0;3545.937744140625;31118076.0;0.7800298929214478
22;29670862.0;3521.820556640625;29670862.0;0.7790809869766235;30707412.0;3384.74365234375;30707412.0;0.7830036878585815
23;29027426.0;3353.043212890625;29027426.0;0.7841089367866516;29402232.0;3556.5791015625;29402232.0;0.7917436361312866
24;28931814.0;3340.28564453125;28931814.0;0.7771425247192383;28116102.0;3498.449462890625;28116102.0;0.8008792400360107
25;28028464.0;3407.9326171875;28028464.0;0.7839952707290649;28886556.0;3098.18310546875;28886554.0;0.7959963083267212
26;26194228.0;3171.933349609375;26194228.0;0.8046875596046448;27343952.0;3076.669677734375;27343952.0;0.8068235516548157
27;25964414.0;3105.30908203125;25964414.0;0.8028594851493835;26966252.0;3423.310546875;26966252.0;0.8089213371276855
28;25216942.0;3067.06494140625;25216942.0;0.8132947683334351;26093740.0;2969.83837890625;26093740.0;0.8155479431152344
29;24379828.0;2948.5517578125;24379828.0;0.8180527687072754;25841190.0;3187.4208984375;25841190.0;0.8171225786209106
30;24308538.0;3035.0361328125;24308538.0;0.8127967715263367;25684078.0;2848.79248046875;25684078.0;0.8186300992965698
31;24120506.0;2874.358154296875;24120506.0;0.8202177286148071;24678110.0;2874.195556640625;24678110.0;0.8255501985549927
32;23331506.0;2916.3974609375;23331506.0;0.830727219581604;25442182.0;2739.64697265625;25442182.0;0.8203593492507935
33;23720390.0;2774.6845703125;23720390.0;0.8140624165534973;25537474.0;2679.3173828125;25537474.0;0.819767951965332
34;23006850.0;2954.044677734375;23006850.0;0.8299175500869751;25654038.0;2808.8271484375;25654038.0;0.8189455270767212
35;23005868.0;2770.99951171875;23005868.0;0.8371683955192566;24443840.0;2761.8310546875;24443840.0;0.827144205570221
36;22870564.0;2664.723388671875;22870564.0;0.8282200694084167;24086094.0;3115.5859375;24086094.0;0.8293777704238892
37;22843494.0;2747.801513671875;22843494.0;0.8292937278747559;24104498.0;2779.764892578125;24104498.0;0.8295503854751587
38;22354954.0;2839.36279296875;22354954.0;0.8402231335639954;26669704.0;2575.11328125;26669704.0;0.8119986057281494
39;23372156.0;2723.5859375;23372156.0;0.8304481506347656;25474320.0;2556.145263671875;25474320.0;0.8200955986976624
40;22612362.0;2701.028564453125;22612362.0;0.8250283002853394;24135322.0;3279.92431640625;24135322.0;0.8288121819496155
41;23446858.0;2669.96875;23446858.0;0.8252555131912231;24016968.0;3117.440185546875;24016968.0;0.8298337459564209
42;24658506.0;3038.864990234375;24658506.0;0.8125442862510681;28920942.0;2476.4384765625;28920942.0;0.7962803840637207
43;24481686.0;3000.02880859375;24481686.0;0.8217941522598267;27856544.0;2578.810791015625;27856544.0;0.8037058115005493
44;23251074.0;2789.69140625;23251074.0;0.831300675868988;24647440.0;3254.806884765625;24647440.0;0.8252319693565369
45;22601150.0;2565.583740234375;22601150.0;0.8325327634811401;24503968.0;2789.984375;24503968.0;0.8265390992164612
46;22112812.0;2702.607666015625;22112812.0;0.8364258408546448;23867032.0;2869.809326171875;23867032.0;0.8311015367507935
