epoch;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
0;278833216.0;12233.201171875;278833216.0;-0.6900101900100708;96701440.0;6300.38330078125;96701440.0;0.21409478783607483
1;116388864.0;7019.0654296875;116388864.0;0.28373709321022034;143226016.0;10767.08203125;143226016.0;-0.3248229920864105
2;72939536.0;6254.02587890625;72939544.0;0.5473448038101196;62219284.0;5789.11376953125;62219284.0;0.4266623854637146
3;55082548.0;4568.77587890625;55082548.0;0.6569951772689819;85779440.0;7091.73876953125;85779440.0;0.2564694285392761
4;49945580.0;4742.3193359375;49945580.0;0.6872498393058777;43099168.0;4148.3642578125;43099176.0;0.612781822681427
5;44549004.0;4267.115234375;44549004.0;0.7219434380531311;50732032.0;4752.6240234375;50732032.0;0.523356556892395
6;40418668.0;4352.09130859375;40418668.0;0.7462189793586731;44472360.0;4332.23388671875;44472360.0;0.6038695573806763
7;37446304.0;3723.70654296875;37446304.0;0.7623637318611145;44572444.0;4438.216796875;44572444.0;0.5947021245956421
8;36843104.0;3581.9228515625;36843104.0;0.7728975415229797;44116120.0;3869.55615234375;44116120.0;0.5862665176391602
9;37951888.0;3875.530029296875;37951888.0;0.7596558332443237;43113136.0;4349.6142578125;43113136.0;0.6123604774475098
10;36119508.0;3903.03662109375;36119508.0;0.7736796140670776;43712408.0;4414.7880859375;43712408.0;0.609416127204895
11;35018532.0;3565.015869140625;35018532.0;0.7625159025192261;40308268.0;3846.95654296875;40308268.0;0.6258201599121094
12;35847096.0;3764.300048828125;35847096.0;0.7695567011833191;39815224.0;4021.330078125;39815224.0;0.6419311761856079
13;34417832.0;3703.473388671875;34417832.0;0.7864336967468262;39105236.0;3976.62939453125;39105236.0;0.6475086212158203
14;36098704.0;3756.437255859375;36098704.0;0.7653497457504272;37895492.0;3807.070556640625;37895492.0;0.6502754092216492
15;34245708.0;3630.968994140625;34245708.0;0.7802435755729675;37739792.0;3836.45361328125;37739792.0;0.6527093648910522
16;33726992.0;3683.830078125;33726992.0;0.7900687456130981;38431476.0;4004.9482421875;38431476.0;0.6526310443878174
17;33402322.0;3666.7607421875;33402322.0;0.7906498312950134;40685080.0;4198.5234375;40685080.0;0.6366864442825317
18;33759560.0;3630.117431640625;33759560.0;0.7842665314674377;36111124.0;3754.015869140625;36111124.0;0.6653410196304321
19;31939476.0;3569.66796875;31939476.0;0.797124981880188;37117980.0;3903.798095703125;37117980.0;0.6655105352401733
20;32869790.0;3611.75927734375;32869790.0;0.7884764075279236;36477592.0;3850.56494140625;36477592.0;0.6711107492446899
21;33055026.0;3625.8193359375;33055026.0;0.7843963503837585;34267556.0;3672.641845703125;34267556.0;0.6828422546386719
22;32797270.0;3576.7607421875;32797270.0;0.7926186919212341;34103280.0;3679.11865234375;34103280.0;0.6843512058258057
23;31875418.0;3548.1220703125;31875418.0;0.8023226857185364;38911480.0;4114.72119140625;38911480.0;0.65121990442276
24;30766982.0;3454.918701171875;30766982.0;0.8060932755470276;32393920.0;3574.2265625;32393920.0;0.7019692659378052
25;30014818.0;3410.92822265625;30014818.0;0.8106852769851685;31507070.0;3520.516357421875;31507070.0;0.7093256711959839
26;28708270.0;3340.2255859375;28708270.0;0.8094543814659119;32075278.0;3562.751220703125;32075278.0;0.7074174880981445
27;28507268.0;3268.9326171875;28507268.0;0.8212522864341736;30950432.0;3467.4423828125;30950432.0;0.7085437774658203
28;28159522.0;3321.968505859375;28159522.0;0.8183444738388062;30652416.0;3476.375;30652416.0;0.717883288860321
29;26769052.0;3173.94189453125;26769052.0;0.8310207724571228;29935682.0;3428.578857421875;29935682.0;0.722986102104187
30;26464174.0;3115.45361328125;26464174.0;0.82945317029953;28632494.0;3246.26806640625;28632494.0;0.7288155555725098
31;27646012.0;3134.27978515625;27646012.0;0.8255169987678528;28262184.0;3254.893798828125;28262184.0;0.7340677976608276
32;26646884.0;3059.339111328125;26646884.0;0.8300642967224121;29968470.0;3398.688720703125;29968470.0;0.7250774502754211
33;26327454.0;3186.62451171875;26327454.0;0.8371115922927856;32391238.0;3429.387939453125;32391238.0;0.7081900835037231
34;27173148.0;3024.4697265625;27173148.0;0.8281568884849548;26581418.0;3011.885986328125;26581418.0;0.7449486255645752
35;24765732.0;2894.863037109375;24765732.0;0.8463380932807922;25697332.0;2929.466796875;25697332.0;0.758179783821106
36;23380922.0;2873.1484375;23380922.0;0.8532562851905823;27394512.0;3067.906494140625;27394512.0;0.7464364767074585
37;23515940.0;2829.556884765625;23515940.0;0.8474636077880859;25117236.0;2819.46826171875;25117236.0;0.7644953727722168
38;22717002.0;2811.0546875;22717002.0;0.8614159822463989;25481614.0;2823.548828125;25481614.0;0.7619574666023254
39;22520770.0;2691.974853515625;22520770.0;0.861572265625;24797180.0;2749.176513671875;24797180.0;0.7630270719528198
40;22925510.0;2645.101806640625;22925510.0;0.857033371925354;25232332.0;2765.879638671875;25232332.0;0.7627881765365601
41;22035020.0;2687.052490234375;22035020.0;0.8626063466072083;24471518.0;2634.460693359375;24471518.0;0.7709180116653442
42;22214868.0;2726.176025390625;22214868.0;0.8625512719154358;23776600.0;2580.85888671875;23776600.0;0.7733286023139954
