;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches;test_loss;test_mae;test_mean_squared_error;test_r2_score
mean;4216.55224609375;65494860.0;4232.9853515625;48100.0;378.0;12749.5654296875;315057184.0;12813.3359375;108.0;4.0;304308981.3333333;12386.578450520834;304308981.3333333;-1.3136895100275676
std;385.86669921875;8675662.0;388.4183349609375;0.0;0.0;978.3245849609375;35696928.0;1018.5103149414062;0.0;0.0;16338981.3583909;476.18047279846877;16338981.3583909;0.1539656098877776
min;3930.845458984375;59433740.0;3945.657958984375;48100.0;378.0;12156.1826171875;287463712.0;12199.9365234375;108.0;4.0;294328000.0;12084.4345703125;294328000.0;-1.4913039207458496
25%;3997.0784912109375;60525806.0;4012.030029296875;48100.0;378.0;12184.97412109375;294899648.0;12225.4833984375;108.0;4.0;294881072.0;12112.12060546875;294881072.0;-1.3614565134048462
50%;4063.3115234375;61617872.0;4078.402099609375;48100.0;378.0;12213.765625;302335584.0;12251.0302734375;108.0;4.0;295434144.0;12139.806640625;295434144.0;-1.2316091060638428
75%;4359.40576171875;68525420.0;4376.6488037109375;48100.0;378.0;13046.2568359375;328853904.0;13120.03515625;108.0;4.0;309299472.0;12537.650390625;309299472.0;-1.2248823046684265
max;4655.5;75432968.0;4674.8955078125;48100.0;378.0;13878.748046875;355372224.0;13989.0400390625;108.0;4.0;323164800.0;12935.494140625;323164800.0;-1.2181555032730103
