;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
count;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0;25.0
mean;2736.0341796875;21637890.0;21622662.0;48120.0;378.2;3727.941650390625;27647064.0;27812492.0;108.0;4.0
std;136.8477020263672;1377792.875;1353994.75;40.824829046386306;0.408248290463863;360.39404296875;5706021.5;5701792.0;0.0;0.0
min;2491.674072265625;19516904.0;19552274.0;48100.0;378.0;2947.724609375;17719402.0;17552340.0;108.0;4.0
25%;2672.457763671875;20669408.0;20555256.0;48100.0;378.0;3482.34814453125;24791480.0;24934596.0;108.0;4.0
50%;2713.436767578125;21318478.0;21366390.0;48100.0;378.0;3740.32275390625;27384008.0;27581516.0;108.0;4.0
75%;2833.99072265625;22508152.0;22525630.0;48100.0;378.0;4000.97802734375;30483526.0;30655950.0;108.0;4.0
max;3000.85107421875;24325076.0;24201882.0;48200.0;379.0;4596.197265625;42885660.0;43134576.0;108.0;4.0
