epoch;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
0;367366880.0;14470.818359375;367366880.0;-1.3156566619873047;387343328.0;14345.818359375;387343328.0;-1.1163990497589111
1;344514304.0;13779.5947265625;344514304.0;-1.1767699718475342;257109392.0;10279.5322265625;257109392.0;-0.4048158526420593
2;194887392.0;9393.3388671875;194887392.0;-0.1398448497056961;360723392.0;17146.25390625;360723392.0;-0.9709507822990417
3;268839008.0;14595.662109375;268839008.0;-0.6879863739013672;109996168.0;7143.17578125;109996168.0;0.39899373054504395
4;122211216.0;7189.33984375;122211216.0;0.2035520076751709;200784928.0;9061.12890625;200784928.0;-0.09706563502550125
5;192833952.0;9209.0830078125;192833952.0;-0.2761842608451843;204173456.0;9405.0537109375;204173456.0;-0.11558013409376144
6;179317008.0;8956.873046875;179317008.0;-0.11169321089982986;118710368.0;6806.29345703125;118710368.0;0.35138028860092163
7;95851592.0;6139.328125;95851592.0;0.42339757084846497;38882516.0;5337.4541015625;38882516.0;0.7875504493713379
8;70693808.0;6657.39892578125;70693808.0;0.5366509556770325;80858184.0;7386.85400390625;80858184.0;0.5582002401351929
9;92482392.0;7494.52001953125;92482392.0;0.3992985785007477;31599654.0;4170.40234375;31599654.0;0.8273431658744812
10;59950624.0;5193.638671875;59950624.0;0.6249944567680359;67361912.0;5274.13671875;67361912.0;0.6319423317909241
11;73705936.0;5571.85107421875;73705936.0;0.5324668884277344;58492964.0;4985.43994140625;58492964.0;0.6804012060165405
12;60268640.0;5100.44384765625;60268640.0;0.6180945634841919;29945412.0;3915.450439453125;29945412.0;0.836381733417511
13;48163960.0;4549.62451171875;48163960.0;0.6825937628746033;38396728.0;4097.45166015625;38396728.0;0.7902047038078308
14;65765416.0;5354.7626953125;65765416.0;0.5874454975128174;30160366.0;3786.190185546875;30160366.0;0.8352072834968567
15;50240736.0;4645.576171875;50240736.0;0.6867339015007019;36742972.0;4113.294921875;36742972.0;0.7992406487464905
16;51705712.0;4654.490234375;51705712.0;0.6732364892959595;48573544.0;4429.5703125;48573544.0;0.734599769115448
17;55952440.0;4732.34912109375;55952440.0;0.6430681943893433;36792748.0;4078.0673828125;36792748.0;0.7989687323570251
18;44510848.0;4396.076171875;44510848.0;0.7124683260917664;28440436.0;4051.27001953125;28440436.0;0.8446047306060791
19;50479500.0;5186.037109375;50479500.0;0.6666200757026672;33524646.0;4509.37890625;33524646.0;0.8168252110481262
20;51158892.0;5401.1103515625;51158892.0;0.6280392408370972;29262102.0;4097.04296875;29262102.0;0.8401152491569519
21;47238556.0;4724.85107421875;47238556.0;0.691523551940918;40501332.0;4157.876953125;40501332.0;0.7787054181098938
22;50684140.0;4454.7744140625;50684140.0;0.678458034992218;38782468.0;4137.69140625;38782468.0;0.788097083568573
23;47856828.0;4590.7744140625;47856828.0;0.7016240358352661;29554194.0;4177.587890625;29554194.0;0.8385193347930908
24;45044108.0;4999.2744140625;45044108.0;0.7013319730758667;29660250.0;4419.537109375;29660250.0;0.8379398584365845
25;46308680.0;5271.646484375;46308680.0;0.7017472386360168;28698340.0;4210.3154296875;28698340.0;0.8431956171989441
26;43554316.0;4836.4443359375;43554316.0;0.7300410270690918;32109624.0;4028.65576171875;32109624.0;0.8245567083358765
27;44786816.0;4482.97119140625;44786816.0;0.7177525162696838;34118656.0;4001.87646484375;34118656.0;0.8135796189308167
28;45043444.0;4468.42138671875;45043444.0;0.7319055795669556;29653246.0;3956.622802734375;29653246.0;0.8379781246185303
29;43443512.0;4612.55615234375;43443512.0;0.7147294282913208;27277872.0;3977.457275390625;27277872.0;0.8509568572044373
30;43600220.0;4802.34521484375;43600220.0;0.7193334102630615;26950224.0;3932.25634765625;26950224.0;0.8527470827102661
31;43166896.0;4723.97119140625;43166896.0;0.7290837168693542;27497956.0;3840.8037109375;27497956.0;0.8497543334960938
32;43898028.0;4555.92529296875;43898028.0;0.7151939868927002;29587484.0;3817.54345703125;29587484.0;0.8383374214172363
