epoch;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
0;370627136.0;14230.0712890625;370627136.0;-1.2119500637054443;354260448.0;13904.392578125;354260448.0;-1.1859817504882812
1;349324096.0;13545.7822265625;349324096.0;-1.0657564401626587;237578464.0;10062.8046875;237578464.0;-0.46598973870277405
2;199143920.0;9304.498046875;199143920.0;-0.05995078384876251;294751712.0;15270.2197265625;294751712.0;-0.8187800645828247
3;267790144.0;14602.1064453125;267790144.0;-0.49930235743522644;106702776.0;6928.72314453125;106702776.0;0.341585248708725
4;137391184.0;7821.91064453125;137391184.0;0.12048496305942535;196547808.0;9322.4638671875;196547808.0;-0.21280808746814728
5;208170288.0;9560.1240234375;208170288.0;-0.26214563846588135;199053248.0;9719.7451171875;199053248.0;-0.22826804220676422
6;194915072.0;9399.2314453125;194915072.0;-0.1502644568681717;122647304.0;7305.23828125;122647304.0;0.24319866299629211
7;111438840.0;6611.369140625;111438840.0;0.3961915373802185;32078796.0;4490.7333984375;32078796.0;0.8020561933517456
8;59822980.0;6099.4228515625;59822980.0;0.6243116855621338;117206104.0;8765.486328125;117206104.0;0.2767738699913025
9;103281904.0;8128.02197265625;103281904.0;0.40754061937332153;31288982.0;3770.49169921875;31288982.0;0.8069297671318054
10;43066976.0;4479.7109375;43066976.0;0.7397388219833374;59612824.0;5749.248046875;59612824.0;0.6321560740470886
11;74134640.0;5940.40771484375;74134640.0;0.533360481262207;65589648.0;6103.73388671875;65589648.0;0.5952758193016052
12;70933792.0;5879.34423828125;70933792.0;0.5685960054397583;38455628.0;4657.31640625;38455628.0;0.7627076506614685
13;44476936.0;4404.8330078125;44476936.0;0.7318649291992188;45141648.0;3869.162109375;45141648.0;0.7214512228965759
14;53643244.0;4411.458984375;53643244.0;0.678570032119751;48977732.0;4135.63720703125;48977732.0;0.6977804899215698
15;46509908.0;4165.49853515625;46509908.0;0.7266296148300171;29772578.0;3747.451904296875;29772578.0;0.8162868618965149
16;37494664.0;4076.8271484375;37494664.0;0.778122067451477;39205248.0;4406.49267578125;39205248.0;0.7580820918083191
17;47015464.0;4448.494140625;47015464.0;0.7260760068893433;36463368.0;4193.94287109375;36463368.0;0.7750009894371033
18;41004568.0;4172.88671875;41004568.0;0.7673660516738892;27742922.0;3740.17138671875;27742922.0;0.8288109302520752
19;34318084.0;4108.51953125;34318084.0;0.7887097597122192;33194966.0;4071.25732421875;33194966.0;0.7951688170433044
20;40411900.0;4686.89013671875;40411900.0;0.7500956654548645;29802750.0;3978.244873046875;29802750.0;0.8161006569862366
21;35150848.0;4387.53125;35150848.0;0.7677557468414307;28027268.0;3803.69873046875;28027268.0;0.827056348323822
22;34394568.0;4037.4111328125;34394568.0;0.7918927669525146;33030604.0;3965.596923828125;33030604.0;0.7961829900741577
23;39859976.0;4070.04150390625;39859976.0;0.7571144104003906;31399232.0;3878.611083984375;31399232.0;0.8062494397163391
24;36372992.0;3992.945556640625;36372992.0;0.7902729511260986;26952150.0;3735.243896484375;26952150.0;0.8336904048919678
25;35581028.0;4242.77001953125;35581028.0;0.7814522385597229;29556866.0;3808.448486328125;29556866.0;0.8176178932189941
26;36608724.0;4318.5654296875;36608724.0;0.7790237665176392;26780190.0;3604.839111328125;26780190.0;0.8347514867782593
27;33346426.0;3936.500244140625;33346424.0;0.7934548854827881;27554020.0;3607.2568359375;27554020.0;0.8299765586853027
28;34138084.0;3806.747314453125;34138084.0;0.794040322303772;28556496.0;3640.451904296875;28556496.0;0.8237907290458679
29;34472400.0;3810.383544921875;34472400.0;0.7926456928253174;26616726.0;3502.28173828125;26616726.0;0.8357601761817932
30;33013186.0;3790.9697265625;33013186.0;0.8040058612823486;26330472.0;3401.12451171875;26330472.0;0.8375265002250671
31;33056740.0;3768.1103515625;33056740.0;0.8000209331512451;26263876.0;3379.564208984375;26263876.0;0.8379374146461487
32;32900476.0;3743.440185546875;32900476.0;0.8014893531799316;26229980.0;3437.07080078125;26229980.0;0.8381466269493103
33;32418852.0;3695.75634765625;32418852.0;0.8117612600326538;26367578.0;3461.494873046875;26367578.0;0.8372975587844849
34;32444094.0;3693.021240234375;32444094.0;0.7961279153823853;26152996.0;3443.7802734375;26152996.0;0.8386216163635254
35;32238784.0;3685.068359375;32238784.0;0.8032761812210083;25824546.0;3403.502685546875;25824546.0;0.840648353099823
36;32118540.0;3695.171630859375;32118540.0;0.8160650730133057;25624778.0;3376.77978515625;25624778.0;0.8418810367584229
37;32087866.0;3716.331298828125;32087866.0;0.812731146812439;25513164.0;3372.247802734375;25513164.0;0.8425697088241577
38;31975242.0;3720.457763671875;31975242.0;0.8169480562210083;25512370.0;3402.84375;25512370.0;0.8425746560096741
39;31815598.0;3708.45849609375;31815602.0;0.8034662008285522;25666238.0;3434.027099609375;25666238.0;0.8416252136230469
40;31823644.0;3701.34375;31823644.0;0.8053799867630005;25790312.0;3453.630859375;25790312.0;0.840859591960907
41;31899042.0;3702.761962890625;31899042.0;0.8165392875671387;25639644.0;3445.804443359375;25639644.0;0.8417893052101135
42;32100850.0;3710.888671875;32100850.0;0.8094629049301147;25124210.0;3385.860595703125;25124210.0;0.8449698090553284
43;31625354.0;3732.867919921875;31625354.0;0.81198650598526;25084516.0;3393.035400390625;25084516.0;0.8452147245407104
44;31563198.0;3732.007568359375;31563198.0;0.7667700052261353;25263168.0;3421.463623046875;25263168.0;0.8441123366355896
45;31412442.0;3708.062255859375;31412442.0;0.8168113231658936;25647300.0;3465.3056640625;25647300.0;0.8417420387268066
46;31659204.0;3704.001953125;31659204.0;0.8056125044822693;25721438.0;3475.607666015625;25721438.0;0.8412845730781555
47;31466174.0;3710.805419921875;31466174.0;0.8052798509597778;24950682.0;3413.186279296875;24950682.0;0.8460405468940735
48;31214348.0;3744.269287109375;31214348.0;0.8189698457717896;24725508.0;3373.71826171875;24725508.0;0.8474299907684326
49;31745392.0;3790.31494140625;31745392.0;0.794203519821167;24696196.0;3376.146728515625;24696196.0;0.8476108908653259
50;31031434.0;3719.4755859375;31031434.0;0.8032788038253784;25262236.0;3451.230224609375;25262236.0;0.8441181182861328
51;31085926.0;3692.105224609375;31085926.0;0.8142377138137817;26057984.0;3516.24072265625;26057984.0;0.8392078876495361
52;31561920.0;3695.611572265625;31561920.0;0.8150811195373535;25535516.0;3480.815673828125;25535516.0;0.8424318432807922
53;31006218.0;3685.480224609375;31006218.0;0.8061467409133911;24623390.0;3389.03125;24623390.0;0.848060131072998
54;30911230.0;3711.679443359375;30911230.0;0.8192074298858643;24608806.0;3356.88427734375;24608806.0;0.8481501340866089
55;32038536.0;3782.29638671875;32038536.0;0.7913110256195068;24542800.0;3382.804443359375;24542800.0;0.8485574126243591
