epoch;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
0;356885472.0;13753.5419921875;356885472.0;-1.1298282146453857;278286816.0;12704.83984375;278286816.0;-1.369036316871643
1;336543008.0;13085.6689453125;336543008.0;-0.9857774972915649;181362896.0;9050.7236328125;181362896.0;-0.5439297556877136
2;188014896.0;8842.2548828125;188014896.0;-0.06698641180992126;453607200.0;19077.599609375;453607200.0;-2.8615264892578125
3;350902816.0;16807.9453125;350902816.0;-0.8745994567871094;83579376.0;6796.875;83579376.0;0.28849461674690247
4;136348848.0;7596.03955078125;136348848.0;0.14318279922008514;164139136.0;8815.92578125;164139136.0;-0.3973049819469452
5;227397936.0;9835.4228515625;227397936.0;-0.3754490315914154;199610448.0;10295.3447265625;199610448.0;-0.6992698311805725
6;255977840.0;10938.712890625;255977840.0;-0.5179038047790527;194957328.0;10299.126953125;194957328.0;-0.6596580743789673
7;241428352.0;10663.8017578125;241428352.0;-0.4219166338443756;155440976.0;9088.51171875;155440976.0;-0.32325828075408936
8;183420944.0;8958.3876953125;183420944.0;-0.06488046050071716;74197976.0;5914.4521484375;74197976.0;0.3683578073978424
9;82670336.0;5793.4423828125;82670336.0;0.524002730846405;37609888.0;4989.26025390625;37609888.0;0.6798296570777893
10;80025184.0;6954.02099609375;80025184.0;0.5116258263587952;97189696.0;8426.7822265625;97189696.0;0.17263081669807434
11;107381024.0;8183.2490234375;107381024.0;0.39598533511161804;28730458.0;3688.7265625;28730458.0;0.7554196119308472
12;51164048.0;4636.0810546875;51164048.0;0.6913608908653259;51852064.0;4999.912109375;51852064.0;0.5585869550704956
13;74689592.0;5544.23876953125;74689592.0;0.5480501055717468;64028496.0;5691.640625;64028496.0;0.4549298882484436
14;79398728.0;5797.068359375;79398728.0;0.5396367311477661;45905664.0;4717.4248046875;45905664.0;0.6092082858085632
15;55365604.0;4741.78466796875;55365604.0;0.6869426965713501;31401060.0;3541.451904296875;31401060.0;0.7326849699020386
16;45406816.0;4048.61572265625;45406816.0;0.7306544780731201;47110936.0;4819.98486328125;47110936.0;0.5989478826522827
17;63598860.0;5253.24951171875;63598860.0;0.5725230574607849;37243244.0;4095.828125;37243244.0;0.6829508543014526
18;45209276.0;4110.98388671875;45209276.0;0.7168631553649902;33319192.0;3774.93115234375;33319192.0;0.7163560390472412
19;47656368.0;4298.63623046875;47656368.0;0.7133382558822632;43575476.0;4371.033203125;43575476.0;0.6290450096130371
20;55392256.0;4560.37255859375;55392256.0;0.6663009524345398;39233848.0;4063.056396484375;39233848.0;0.66600501537323
21;48438804.0;4227.232421875;48438804.0;0.7295163869857788;30750620.0;3777.842041015625;30750620.0;0.7382221221923828
22;40177500.0;4182.35498046875;40177500.0;0.7718295454978943;34588840.0;4408.28515625;34588840.0;0.7055476307868958
23;45363620.0;4765.67529296875;45363620.0;0.7283618450164795;35352612.0;4520.76611328125;35352612.0;0.6990456581115723
