epoch;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
0;298306464.0;12927.4541015625;298306464.0;-1.2971887588500977;300541984.0;13172.12890625;300541984.0;-1.3506336212158203
1;280610112.0;12306.7275390625;280610112.0;-1.1188617944717407;195152704.0;9238.568359375;195152704.0;-0.5263507962226868
2;159300784.0;8418.890625;159300784.0;-0.10831001400947571;304922016.0;15643.123046875;304922016.0;-1.384891152381897
3;220522480.0;13214.6953125;220522480.0;-0.5432972311973572;91191336.0;6330.38427734375;91191336.0;0.2867638170719147
4;110337280.0;6589.29833984375;110337280.0;0.11915042251348495;175059664.0;8940.705078125;175059664.0;-0.3691968321800232
5;180170000.0;8962.0654296875;180170000.0;-0.3879917860031128;191649728.0;9797.53515625;191649728.0;-0.4989529848098755
6;184825264.0;9295.7099609375;184825264.0;-0.438207745552063;149453120.0;8410.6171875;149453120.0;-0.16891993582248688
7;136029328.0;7599.32666015625;136029328.0;0.011462770402431488;54870352.0;4525.3740234375;54870352.0;0.5708417296409607
8;60985192.0;5226.2265625;60985192.0;0.5483239889144897;74026048.0;7392.482421875;74026048.0;0.4210189878940582
9;105872368.0;8649.1201171875;105872368.0;0.18103842437267303;47187996.0;5506.60400390625;47187996.0;0.6309278607368469
10;56775348.0;5752.56982421875;56775348.0;0.5663602948188782;43188880.0;4215.83935546875;43188880.0;0.6622061729431152
11;63740636.0;4849.31689453125;63740636.0;0.46658390760421753;78282712.0;5812.02099609375;78282712.0;0.3877262771129608
12;86243744.0;5681.71484375;86243744.0;0.33632105588912964;66462472.0;5192.63330078125;66462472.0;0.48017606139183044
13;66697380.0;4833.72607421875;66697380.0;0.4858064651489258;30541814.0;3557.072998046875;30541814.0;0.7611228227615356
14;41610576.0;4153.7822265625;41610576.0;0.6735148429870605;39371824.0;4732.74755859375;39371824.0;0.6920605301856995
15;66645856.0;6048.62109375;66645856.0;0.4873470664024353;34988476.0;4564.92919921875;34988476.0;0.726344108581543
16;51961752.0;5159.146484375;51961752.0;0.630911111831665;31361654.0;3498.065673828125;31361654.0;0.7547106146812439
17;45862700.0;3940.074462890625;45862700.0;0.6355682611465454;49830520.0;4159.2001953125;49830520.0;0.6102598309516907
18;56672948.0;4073.163330078125;56672948.0;0.5631167888641357;46250096.0;3891.758056640625;46250096.0;0.6382634043693542
19;50721428.0;3965.605224609375;50721428.0;0.6200777292251587;29431442.0;3656.164306640625;29431442.0;0.7698073983192444
20;42044992.0;4430.302734375;42044992.0;0.6573001742362976;29490046.0;4549.515625;29490046.0;0.7693490386009216
21;47594156.0;5437.28515625;47594156.0;0.5931947231292725;28758400.0;4358.81103515625;28758400.0;0.7750715017318726
22;42071584.0;4785.87548828125;42071584.0;0.6763787865638733;33950900.0;3633.0087890625;33950900.0;0.7344593405723572
23;41633844.0;3826.684814453125;41633844.0;0.6749321222305298;40863688.0;3547.698486328125;40863688.0;0.6803922057151794
24;44421468.0;3657.789306640625;44421468.0;0.672622561454773;37075936.0;3581.28466796875;37075936.0;0.7100174427032471
25;41399304.0;3843.129150390625;41399304.0;0.7011343240737915;30839860.0;3961.241943359375;30839860.0;0.7587917447090149
26;40106436.0;4491.25390625;40106436.0;0.6999977827072144;29601958.0;4281.97900390625;29601958.0;0.768473744392395
