;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches;test_loss;test_mae;test_mean_squared_error;test_r2_score
mean;2760.3212890625;21752488.0;21777986.0;48120.0;378.2;4199.47216796875;29401872.0;29489086.0;108.0;4.0;28783794.56;4058.965166015625;28783794.56;0.771001718044281
std;112.05181884765625;1431014.25;1411474.375;25.0;0.408248290463863;399.96160888671875;5822236.0;5730612.5;0.0;0.0;3952733.050238806;162.5062058782737;3952733.050238806;0.03455794651917314
min;2516.705078125;18497750.0;18570358.0;48100.0;378.0;3332.04345703125;17406428.0;17661536.0;108.0;4.0;22267432.0;3782.04638671875;22267432.0;0.6930857300758362
25%;2679.6845703125;20909032.0;20797930.0;48100.0;378.0;3951.266357421875;25805850.0;25838526.0;108.0;4.0;26612906.0;3946.504638671875;26612906.0;0.7511952519416809
50%;2773.681396484375;22149012.0;22174554.0;48100.0;378.0;4171.47998046875;28656472.0;28995684.0;108.0;4.0;27672444.0;4016.72021484375;27672444.0;0.7705968618392944
75%;2826.57861328125;22745094.0;22781120.0;48150.0;378.0;4454.71337890625;32160826.0;31973756.0;108.0;4.0;29505148.0;4138.3984375;29505148.0;0.7948178052902222
max;3020.4404296875;24592512.0;24520170.0;48150.0;379.0;5043.76171875;40804736.0;40258328.0;108.0;4.0;39710944.0;4327.416015625;39710944.0;0.8420808911323547
