;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches;test_loss;test_mae;test_mean_squared_error;test_r2_score
mean;2709.56201171875;21264758.0;21237530.0;48120.0;378.2;4024.60595703125;36053656.0;36686868.0;108.0;4.0;28387144.0;3626.33466796875;28387144.0;0.782588803768158
std;106.57202911376953;1170651.0;1065610.125;27.386127875258307;0.4472135954999579;514.790771484375;5753625.0;6086094.0;0.0;0.0;1840029.7485307134;382.8632698683518;1840029.7485307134;0.028641501081266924
min;2542.32080078125;19805508.0;19861834.0;48100.0;378.0;3208.26025390625;29004000.0;29262606.0;108.0;4.0;25528780.0;3174.701904296875;25528780.0;0.7460832595825195
25%;2684.794677734375;20280612.0;20362058.0;48100.0;378.0;3975.63330078125;32567062.0;33598416.0;108.0;4.0;28178240.0;3306.806640625;28178240.0;0.7662950158119202
50%;2733.06689453125;21680022.0;21705348.0;48100.0;378.0;4035.69873046875;36854920.0;36490624.0;108.0;4.0;28353126.0;3649.589599609375;28353126.0;0.7875159382820129
75%;2761.427734375;22000776.0;21936744.0;48150.0;378.0;4337.1611328125;37564400.0;38427168.0;108.0;4.0;29428470.0;3995.57373046875;29428470.0;0.790508508682251
max;2826.20166015625;22556878.0;22321668.0;48150.0;379.0;4566.275390625;44277916.0;45655524.0;108.0;4.0;30447104.0;4005.00146484375;30447104.0;0.8225412964820862
