;rep;fold;RSQ_train;RSQ_test;RSQ_eval;pct_diff_tt;mean_ttdiff_age;mean_ttdiff_sex;mean_ttdiff_bmi;mean_ttdiff_children;mean_ttdiff_smoker;mean_ttdiff_charges
0;0;0;0.8431040048599243;0.8246956467628479;0.8077540993690491;0.022321395983274872;0.02354620521479389;0.0241080841147423;-0.0002745947068927279;-0.0061202936723034895;0.31792493841472247;0.14904936771746202
1;0;1;0.8659524917602539;0.7588608860969543;0.8491687774658203;0.1411215252035236;-0.037663001472692414;-0.022085704076303503;-0.05896725531189395;-0.04827090246148802;0.0026920193552784077;-0.03743324099669931
2;0;2;0.8589466214179993;0.8496061563491821;0.8446388244628906;0.01099387639674565;-0.08211963458680771;0.1094574387043985;0.03985887282869505;0.028121196592146624;-0.17335130514826735;-0.10280209435620213
3;0;3;0.836059033870697;0.8450661301612854;0.8266992568969727;-0.010658451414765957;0.08452068107916677;-0.06306897400147615;0.025431647054113604;-0.0014655593551539114;0.10075777371309114;0.06313208483608768
4;0;4;0.8438305258750916;0.7859013676643372;0.8500208854675293;0.07371046876138831;0.01520902925397305;-0.04494382022471899;-0.004837780836726924;0.02861024919536681;-0.21176586036013934;-0.06358437613950851
5;0;0;0.8467360138893127;0.8246956467628479;0.8174008131027222;0.02672545588542774;0.02354620521479389;0.0241080841147423;-0.0002745947068927279;-0.0061202936723034895;0.31792493841472247;0.14904936771746202
6;0;1;0.8407764434814453;0.7588608860969543;0.8431794047355652;0.1079454204127015;-0.037663001472692414;-0.022085704076303503;-0.05896725531189395;-0.04827090246148802;0.0026920193552784077;-0.03743324099669931
7;0;2;0.8722482323646545;0.8496061563491821;0.8779830932617188;0.02665008468484631;-0.08211963458680771;0.1094574387043985;0.03985887282869505;0.028121196592146624;-0.17335130514826735;-0.10280209435620213
8;0;3;0.8441816568374634;0.8450661301612854;0.8091309070587158;-0.001046632082690624;0.08452068107916677;-0.06306897400147615;0.025431647054113604;-0.0014655593551539114;0.10075777371309114;0.06313208483608768
9;0;4;0.8372217416763306;0.7859013676643372;0.8361024856567383;0.06530129113340921;0.01520902925397305;-0.04494382022471899;-0.004837780836726924;0.02861024919536681;-0.21176586036013934;-0.06358437613950851
10;1;0;0.8480638861656189;0.8375381231307983;0.8203420042991638;0.012567503190749285;0.04048264607921337;0.0241080841147423;-0.016223406399279328;-0.04827090246148802;-0.08690850679338735;-0.037291711494574886
