;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6578.463;98446420.0;98924970.0;48100;378;14236.889;367672860.0;373598340.0;108;4
1;6282.668;89868500.0;90292710.0;48100;378;14234.666;367601340.0;373526100.0;108;4
2;6139.493;85634040.0;86033750.0;48100;378;14227.346;367358700.0;373281000.0;108;4
3;6014.7983;81996560.0;82375220.0;48100;378;14209.388;366753380.0;372669250.0;108;4
4;5883.8525;78360520.0;78717830.0;48100;378;14174.781;365569400.0;371472540.0;108;4
5;5755.095;74893990.0;75230920.0;48100;378;14117.713;363588930.0;369470270.0;108;4
6;5632.1;71660640.0;71978150.0;48100;378;14032.91;360607520.0;366455400.0;108;4
7;5506.5635;68483630.0;68780984.0;48100;378;13916.1;356452930.0;362252480.0;108;4
8;5380.958;65405830.0;65685010.0;48100;378;13764.396;351002180.0;356735700.0;108;4
9;5253.983;62421868.0;62682200.0;48100;378;13576.698;344197920.0;349844670.0;108;4
10;5131.352;59587664.0;59829396.0;48100;378;13352.797;336018180.0;341554400.0;108;4
11;5007.445;56826864.0;57050956.0;48100;378;13092.803;326468770.0;331868500.0;108;4
12;4884.735;54179844.0;54389224.0;48100;378;12796.444;315554720.0;320788740.0;108;4
13;4767.283;51650244.0;51843784.0;48100;378;12463.065;303300770.0;308338750.0;108;4
14;4657.689;49293680.0;49471100.0;48100;378;12090.242;289707500.0;294518400.0;108;4
15;4554.0605;47078350.0;47240884.0;48100;378;11676.499;274768200.0;279320260.0;108;4
16;4452.9683;44990840.0;45139764.0;48100;378;11213.623;258468420.0;262729140.0;108;4
17;4358.6973;43026948.0;43164224.0;48100;378;10697.5205;240901630.0;244841250.0;108;4
18;4268.2637;41189450.0;41314256.0;48100;378;10129.365;222246700.0;225839900.0;108;4
19;4178.184;39421492.0;39538464.0;48100;378;9514.744;202826880.0;206054690.0;108;4
20;4087.2488;37738332.0;37847704.0;48100;378;8866.13;183072580.0;185921470.0;108;4
21;3993.6055;36125616.0;36230464.0;48100;378;8191.546;163520420.0;165984640.0;108;4
22;3899.7148;34598220.0;34700144.0;48100;378;7496.216;144614450.0;146697040.0;108;4
23;3799.0784;33092142.0;33191836.0;48100;378;6809.9824;126796620.0;128509064.0;108;4
24;3701.1875;31656728.0;31751396.0;48100;378;6190.5225;110436190.0;111797350.0;108;4
25;3595.8962;30245786.0;30341290.0;48100;378;5629.2495;95715940.0;96751710.0;108;4
26;3493.2478;28963246.0;29054772.0;48100;378;5104.0684;82661680.0;83401944.0;108;4
27;3386.543;27712988.0;27806198.0;48100;378;4690.368;71399310.0;71877464.0;108;4
28;3277.5842;26528608.0;26618544.0;48100;378;4463.3164;61971810.0;62224750.0;108;4
29;3182.3645;25549320.0;25634786.0;48100;378;4378.068;54279904.0;54344016.0;108;4
30;3109.638;24798366.0;24882458.0;48100;378;4352.312;48242656.0;48155060.0;108;4
31;3046.9458;24252556.0;24337838.0;48100;378;4375.033;43743264.0;43539580.0;108;4
32;3012.7046;23897578.0;23982968.0;48100;378;4424.6685;40668160.0;40378770.0;108;4
33;2911.1177;22917172.0;22995150.0;48100;378;4488.137;38778824.0;38431350.0;108;4
34;2913.4285;22894098.0;22972636.0;48100;378;4575.097;37851936.0;37469064.0;108;4
35;2918.3406;22974952.0;23055830.0;48100;378;4668.961;37679864.0;37275040.0;108;4
36;2915.267;22975628.0;23055088.0;48100;378;4801.0166;37953036.0;37535940.0;108;4
37;2901.3262;22846362.0;22929386.0;48100;378;4931.3223;38270970.0;37851096.0;108;4
38;2887.9087;22746624.0;22829358.0;48100;378;4999.0723;38354130.0;37936404.0;108;4
39;2870.5896;22598600.0;22682392.0;48100;378;5001.825;38048404.0;37634256.0;108;4
40;2854.921;22462936.0;22546318.0;48100;378;4947.7583;37399144.0;36988240.0;108;4
41;2832.135;22278952.0;22362744.0;48100;378;4849.275;36477490.0;36071290.0;108;4
42;2811.197;22107928.0;22190734.0;48100;378;4715.757;35400680.0;34996944.0;108;4
43;2790.3374;21936648.0;22018798.0;48100;378;4561.3184;34353460.0;33951492.0;108;4
44;2775.338;21812318.0;21893886.0;48100;378;4397.9526;33439380.0;33041996.0;108;4
45;2758.3936;21678028.0;21759150.0;48100;378;4239.417;32753692.0;32361860.0;108;4
46;2748.587;21601632.0;21681954.0;48100;378;4093.4365;32312888.0;31930812.0;108;4
47;2737.3137;21531030.0;21610630.0;48100;378;3955.8254;32044764.0;31677928.0;108;4
48;2732.8772;21484280.0;21565398.0;48100;378;3835.6777;31935736.0;31592894.0;108;4
49;2729.3003;21447750.0;21529632.0;48100;378;3740.3228;31990746.0;31681026.0;108;4
