;mean_absolute_error;mean_squared_error;loss;num_examples;num_batches;val_mean_absolute_error;val_mean_squared_error;val_loss;val_num_examples;val_num_batches
0;6457.6196;94441464.0;94799310.0;48100;378;12761.249;327570000.0;334496000.0;108;4
1;6151.4443;85644616.0;85960056.0;48100;378;12758.945;327500350.0;334425570.0;108;4
2;5993.4194;81092580.0;81381610.0;48100;378;12749.318;327195330.0;334116640.0;108;4
3;5846.114;77085800.0;77351110.0;48100;378;12725.854;326423420.0;333334240.0;108;4
4;5701.1284;73325940.0;73568110.0;48100;378;12681.429;324916670.0;331805900.0;108;4
5;5553.8584;69656630.0;69876990.0;48100;378;12608.748;322385340.0;329236400.0;108;4
6;5411.9873;66141936.0;66342508.0;48100;378;12500.578;318532260.0;325323000.0;108;4
7;5277.3374;62858452.0;63041948.0;48100;378;12350.143;313080030.0;319782270.0;108;4
8;5151.691;59882052.0;60052096.0;48100;378;12150.596;305768960.0;312347900.0;108;4
9;5027.434;57014456.0;57172572.0;48100;378;11894.201;296338340.0;302750940.0;108;4
10;4901.016;54131576.0;54280064.0;48100;378;11573.547;284600600.0;290797630.0;108;4
11;4776.1772;51329572.0;51471240.0;48100;378;11182.854;270480830.0;276409400.0;108;4
12;4656.411;48671696.0;48808748.0;48100;378;10717.523;254018880.0;259622080.0;108;4
13;4537.4126;46132530.0;46266470.0;48100;378;10175.525;235405470.0;240628030.0;108;4
14;4419.476;43712390.0;43844350.0;48100;378;9559.468;215029260.0;219820450.0;108;4
15;4296.0454;41379224.0;41511020.0;48100;378;8884.358;193469460.0;197785900.0;108;4
16;4171.772;39201460.0;39337660.0;48100;378;8169.5923;171418100.0;175227920.0;108;4
17;4041.9163;37102948.0;37244030.0;48100;378;7424.702;149613950.0;152898780.0;108;4
18;3906.4363;35060828.0;35200990.0;48100;378;6666.6914;128687064.0;131443256.0;108;4
19;3769.086;33094088.0;33231994.0;48100;378;5945.4766;109028840.0;111264840.0;108;4
20;3638.9834;31371096.0;31505292.0;48100;378;5254.9736;91003430.0;92741820.0;108;4
21;3510.0615;29745968.0;29874374.0;48100;378;4630.6167;74742280.0;76019200.0;108;4
22;3386.682;28236416.0;28356380.0;48100;378;4096.9146;60606348.0;61472588.0;108;4
23;3244.902;26552898.0;26664302.0;48100;378;3657.559;48811630.0;49329628.0;108;4
24;3138.242;25331238.0;25436808.0;48100;378;3526.0479;39533424.0;39774588.0;108;4
25;3110.5278;25044520.0;25148712.0;48100;378;3525.2363;32979970.0;33025010.0;108;4
26;3097.957;24941622.0;25044404.0;48100;378;3653.1018;29154204.0;29089872.0;108;4
27;3049.2004;24290294.0;24389460.0;48100;378;3891.5261;27925906.0;27831370.0;108;4
28;2995.886;23708132.0;23804920.0;48100;378;4274.4805;28789354.0;28730670.0;108;4
29;3013.324;23899696.0;23996324.0;48100;378;4717.162;31071838.0;31100740.0;108;4
30;3022.407;24044500.0;24142564.0;48100;378;5062.882;33765084.0;33914250.0;108;4
31;3011.0857;23960918.0;24059146.0;48100;378;5287.172;35949510.0;36226310.0;108;4
32;2996.7056;23841672.0;23939052.0;48100;378;5398.2993;37220770.0;37623140.0;108;4
33;2978.7417;23695010.0;23791868.0;48100;378;5377.87;37289660.0;37801316.0;108;4
34;2957.1118;23500294.0;23596208.0;48100;378;5250.6353;36345504.0;36941668.0;108;4
35;2935.011;23294646.0;23389398.0;48100;378;5047.727;34728604.0;35379996.0;108;4
36;2913.5645;23084366.0;23178652.0;48100;378;4800.6875;32811096.0;33488034.0;108;4
37;2890.1943;22838324.0;22930792.0;48100;378;4536.973;30940240.0;31623772.0;108;4
38;2875.7917;22695466.0;22787392.0;48100;378;4280.4736;29255224.0;29931868.0;108;4
39;2866.8467;22603378.0;22694782.0;48100;378;4064.0059;27820644.0;28482868.0;108;4
40;2843.8796;22322198.0;22411928.0;48100;378;3901.3237;26751184.0;27400884.0;108;4
41;2831.7312;22169040.0;22257474.0;48100;378;3774.4614;25857372.0;26493168.0;108;4
42;2840.399;22273360.0;22362490.0;48100;378;3690.2397;25197564.0;25822758.0;108;4
43;2844.9717;22360248.0;22448960.0;48100;378;3631.1182;24690156.0;25302002.0;108;4
44;2838.6047;22278838.0;22368180.0;48100;378;3588.3682;24263002.0;24858948.0;108;4
45;2834.5227;22236158.0;22326080.0;48100;378;3557.4922;23929536.0;24516814.0;108;4
46;2836.2527;22229400.0;22319994.0;48100;378;3531.3877;23644388.0;24225268.0;108;4
47;2852.3958;22438706.0;22529904.0;48100;378;3497.1938;23361388.0;23937908.0;108;4
48;2849.5115;22431608.0;22522502.0;48100;378;3454.657;23091044.0;23665630.0;108;4
49;2856.675;22508152.0;22599436.0;48100;378;3406.6792;22823932.0;23396442.0;108;4
