;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score;test_loss;test_mae;test_mean_squared_error;test_r2_score
mean;25229576.666666668;3145.187744140625;25229576.666666668;0.816661020119985;27560420.666666668;3264.6636555989585;27560420.666666668;0.818783680597941;26747098.0;3200.3162434895835;26747098.0;0.8012561798095703
std;1580040.17510484;65.79112931454465;1580040.17510484;0.010761032197677224;2014366.8350430448;258.92088155299007;2014366.8350430448;0.005207071616162895;8707052.966927214;410.7049457237817;8707052.966927214;0.04082327434592486
min;23859178.0;3097.195068359375;23859178.0;0.8082987666130066;25489668.0;3096.50244140625;25489668.0;0.815413236618042;18892294.0;2962.55322265625;18892294.0;0.7742393612861633
25%;24365433.0;3107.6895751953125;24365433.0;0.8105906844139099;26584022.0;3115.58203125;26584022.0;0.8157850503921509;22065893.0;2963.1959228515625;22065893.0;0.7777754366397858
50%;24871688.0;3118.18408203125;24871688.0;0.8128826022148132;27678376.0;3134.66162109375;27678376.0;0.8161568641662598;25239492.0;2963.838623046875;25239492.0;0.7813115119934082
75%;25914776.0;3169.18408203125;25914776.0;0.8208421468734741;28595797.0;3348.7442626953125;28595797.0;0.8204689025878906;30674500.0;3319.19775390625;30674500.0;0.8147645890712738
max;26957864.0;3220.18408203125;26957864.0;0.828801691532135;29513218.0;3562.826904296875;29513218.0;0.8247809410095215;36109508.0;3674.556884765625;36109508.0;0.8482176661491394
