;loss;mae;mean_squared_error;r2_score;val_loss;val_mae;val_mean_squared_error;val_r2_score
mean;25229576.666666668;3145.187744140625;25229576.666666668;0.816661020119985;27560420.666666668;3264.6636555989585;27560420.666666668;0.818783680597941
std;1580040.17510484;65.79112931454465;1580040.17510484;0.010761032197677224;2014366.8350430448;258.92088155299007;2014366.8350430448;0.005207071616162895
min;23859178.0;3097.195068359375;23859178.0;0.8082987666130066;25489668.0;3096.50244140625;25489668.0;0.815413236618042
25%;24365433.0;3107.6895751953125;24365433.0;0.8105906844139099;26584022.0;3115.58203125;26584022.0;0.8157850503921509
50%;24871688.0;3118.18408203125;24871688.0;0.8128826022148132;27678376.0;3134.66162109375;27678376.0;0.8161568641662598
75%;25914776.0;3169.18408203125;25914776.0;0.8208421468734741;28595797.0;3348.7442626953125;28595797.0;0.8204689025878906
max;26957864.0;3220.18408203125;26957864.0;0.828801691532135;29513218.0;3562.826904296875;29513218.0;0.8247809410095215
